,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Data & Hora
0,0.0,0.467,0.0,2023-01-01 00:00:00
1,0.0,0.577,0.0,2023-01-01 01:00:00
2,0.0,0.346,0.0,2023-01-01 02:00:00
3,0.0,0.27,0.0,2023-01-01 03:00:00
4,0.0,0.252,0.0,2023-01-01 04:00:00
5,0.0,0.255,0.0,2023-01-01 05:00:00
6,0.0,0.256,0.0,2023-01-01 06:00:00
7,0.0,0.263,0.0,2023-01-01 07:00:00
8,0.275,0.0,0.002,2023-01-01 08:00:00
9,0.331,0.0,0.0,2023-01-01 09:00:00
10,0.271,0.0,0.0,2023-01-01 10:00:00
11,0.25,0.0,0.022,2023-01-01 11:00:00
12,0.778,0.0,0.056,2023-01-01 12:00:00
13,0.496,0.0,0.007,2023-01-01 13:00:00
14,0.338,0.0,0.016,2023-01-01 14:00:00
15,0.362,0.0,0.001,2023-01-01 15:00:00
16,1.326,0.0,0.0,2023-01-01 16:00:00
17,0.631,0.0,0.0,2023-01-01 17:00:00
18,0.595,0.0,0.0,2023-01-01 18:00:00
19,2.089,0.0,0.0,2023-01-01 19:00:00
20,1.635,0.0,0.0,2023-01-01 20:00:00
21,0.637,0.0,0.0,2023-01-01 21:00:00
22,0.0,0.577,0.0,2023-01-01 22:00:00
23,0.0,0.566,0.0,2023-01-01 23:00:00
24,0.0,0.639,0.0,2023-01-02 00:00:00
25,0.0,0.51,0.0,2023-01-02 01:00:00
26,0.0,0.375,0.0,2023-01-02 02:00:00
27,0.0,0.345,0.0,2023-01-02 03:00:00
28,0.0,0.241,0.0,2023-01-02 04:00:00
29,0.0,0.237,0.0,2023-01-02 05:00:00
30,0.0,0.252,0.0,2023-01-02 06:00:00
31,0.0,0.974,0.0,2023-01-02 07:00:00
32,0.476,0.0,0.01,2023-01-02 08:00:00
33,0.15,0.0,0.083,2023-01-02 09:00:00
34,0.08,0.0,0.158,2023-01-02 10:00:00
35,0.0,0.0,0.251,2023-01-02 11:00:00
36,0.0,0.0,0.248,2023-01-02 12:00:00
37,0.166,0.0,0.078,2023-01-02 13:00:00
38,0.01,0.0,0.22,2023-01-02 14:00:00
39,0.023,0.0,0.272,2023-01-02 15:00:00
40,0.251,0.0,0.053,2023-01-02 16:00:00
41,0.425,0.0,0.0,2023-01-02 17:00:00
42,0.97,0.0,0.0,2023-01-02 18:00:00
43,0.683,0.0,0.0,2023-01-02 19:00:00
44,0.73,0.0,0.0,2023-01-02 20:00:00
45,0.847,0.0,0.0,2023-01-02 21:00:00
46,0.0,0.681,0.0,2023-01-02 22:00:00
47,0.0,0.56,0.0,2023-01-02 23:00:00
48,0.0,0.521,0.0,2023-01-03 00:00:00
49,0.0,0.338,0.0,2023-01-03 01:00:00
50,0.0,0.271,0.0,2023-01-03 02:00:00
51,0.0,0.259,0.0,2023-01-03 03:00:00
52,0.0,0.247,0.0,2023-01-03 04:00:00
53,0.0,0.263,0.0,2023-01-03 05:00:00
54,0.0,0.274,0.0,2023-01-03 06:00:00
55,0.0,0.813,0.0,2023-01-03 07:00:00
56,0.301,0.0,0.081,2023-01-03 08:00:00
57,0.0,0.0,0.325,2023-01-03 09:00:00
58,0.0,0.0,0.271,2023-01-03 10:00:00
59,0.0,0.0,0.261,2023-01-03 11:00:00
60,0.368,0.0,0.614,2023-01-03 12:00:00
61,0.06,0.0,0.495,2023-01-03 13:00:00
62,0.0,0.0,0.255,2023-01-03 14:00:00
63,0.023,0.0,0.221,2023-01-03 15:00:00
64,0.175,0.0,0.065,2023-01-03 16:00:00
65,0.23,0.0,0.0,2023-01-03 17:00:00
66,0.858,0.0,0.0,2023-01-03 18:00:00
67,0.843,0.0,0.0,2023-01-03 19:00:00
68,0.463,0.0,0.0,2023-01-03 20:00:00
69,0.854,0.0,0.0,2023-01-03 21:00:00
70,0.0,1.514,0.0,2023-01-03 22:00:00
71,0.0,0.609,0.0,2023-01-03 23:00:00
72,0.0,0.592,0.0,2023-01-04 00:00:00
73,0.0,0.579,0.0,2023-01-04 01:00:00
74,0.0,0.531,0.0,2023-01-04 02:00:00
75,0.0,0.264,0.0,2023-01-04 03:00:00
76,0.0,0.266,0.0,2023-01-04 04:00:00
77,0.0,0.265,0.0,2023-01-04 05:00:00
78,0.0,0.299,0.0,2023-01-04 06:00:00
79,0.0,1.245,0.0,2023-01-04 07:00:00
80,0.369,0.0,0.092,2023-01-04 08:00:00
81,0.0,0.0,0.367,2023-01-04 09:00:00
82,0.0,0.0,0.367,2023-01-04 10:00:00
83,0.0,0.0,0.361,2023-01-04 11:00:00
84,0.0,0.0,0.281,2023-01-04 12:00:00
85,0.0,0.0,0.252,2023-01-04 13:00:00
86,0.0,0.0,0.288,2023-01-04 14:00:00
87,0.204,0.0,0.324,2023-01-04 15:00:00
88,0.21,0.0,0.042,2023-01-04 16:00:00
89,0.304,0.0,0.0,2023-01-04 17:00:00
90,1.174,0.0,0.0,2023-01-04 18:00:00
91,1.826,0.0,0.0,2023-01-04 19:00:00
92,1.262,0.0,0.0,2023-01-04 20:00:00
93,0.808,0.0,0.0,2023-01-04 21:00:00
94,0.0,0.662,0.0,2023-01-04 22:00:00
95,0.0,0.472,0.0,2023-01-04 23:00:00
96,0.0,0.418,0.0,2023-01-05 00:00:00
97,0.0,0.361,0.0,2023-01-05 01:00:00
98,0.0,0.357,0.0,2023-01-05 02:00:00
99,0.0,0.319,0.0,2023-01-05 03:00:00
100,0.0,0.308,0.0,2023-01-05 04:00:00
101,0.0,0.303,0.0,2023-01-05 05:00:00
102,0.0,0.308,0.0,2023-01-05 06:00:00
103,0.0,0.829,0.0,2023-01-05 07:00:00
104,0.381,0.0,0.094,2023-01-05 08:00:00
105,0.0,0.0,0.335,2023-01-05 09:00:00
106,0.336,0.0,0.616,2023-01-05 10:00:00
107,0.0,0.0,0.337,2023-01-05 11:00:00
108,0.057,0.0,0.424,2023-01-05 12:00:00
109,0.0,0.0,0.343,2023-01-05 13:00:00
110,0.0,0.0,0.292,2023-01-05 14:00:00
111,0.0,0.0,0.293,2023-01-05 15:00:00
112,0.247,0.0,0.049,2023-01-05 16:00:00
113,0.321,0.0,0.0,2023-01-05 17:00:00
114,0.89,0.0,0.0,2023-01-05 18:00:00
115,1.752,0.0,0.0,2023-01-05 19:00:00
116,0.817,0.0,0.0,2023-01-05 20:00:00
117,1.256,0.0,0.0,2023-01-05 21:00:00
118,0.0,2.771,0.0,2023-01-05 22:00:00
119,0.0,2.215,0.0,2023-01-05 23:00:00
120,0.0,1.78,0.0,2023-01-06 00:00:00
121,0.0,0.95,0.0,2023-01-06 01:00:00
122,0.0,0.713,0.0,2023-01-06 02:00:00
123,0.0,0.47,0.0,2023-01-06 03:00:00
124,0.0,0.497,0.0,2023-01-06 04:00:00
125,0.0,0.443,0.0,2023-01-06 05:00:00
126,0.0,0.792,0.0,2023-01-06 06:00:00
127,0.0,1.763,0.0,2023-01-06 07:00:00
128,0.947,0.0,0.074,2023-01-06 08:00:00
129,0.245,0.0,0.406,2023-01-06 09:00:00
130,0.164,0.0,0.421,2023-01-06 10:00:00
131,0.052,0.0,0.449,2023-01-06 11:00:00
132,0.067,0.0,0.394,2023-01-06 12:00:00
133,0.018,0.0,0.436,2023-01-06 13:00:00
134,0.0,0.0,0.444,2023-01-06 14:00:00
135,0.222,0.0,0.223,2023-01-06 15:00:00
136,0.457,0.0,0.046,2023-01-06 16:00:00
137,0.586,0.0,0.0,2023-01-06 17:00:00
138,1.821,0.0,0.0,2023-01-06 18:00:00
139,1.046,0.0,0.0,2023-01-06 19:00:00
140,0.413,0.0,0.0,2023-01-06 20:00:00
141,0.36,0.0,0.0,2023-01-06 21:00:00
142,0.0,0.369,0.0,2023-01-06 22:00:00
143,0.0,0.375,0.0,2023-01-06 23:00:00
144,0.0,0.732,0.0,2023-01-07 00:00:00
145,0.0,0.605,0.0,2023-01-07 01:00:00
146,0.0,0.493,0.0,2023-01-07 02:00:00
147,0.0,1.073,0.0,2023-01-07 03:00:00
148,0.0,0.777,0.0,2023-01-07 04:00:00
149,0.0,0.469,0.0,2023-01-07 05:00:00
150,0.0,0.412,0.0,2023-01-07 06:00:00
151,0.0,0.408,0.0,2023-01-07 07:00:00
152,0.383,0.0,0.0,2023-01-07 08:00:00
153,0.343,0.0,0.023,2023-01-07 09:00:00
154,0.333,0.0,0.03,2023-01-07 10:00:00
155,0.415,0.0,0.057,2023-01-07 11:00:00
156,0.61,0.0,0.061,2023-01-07 12:00:00
157,0.533,0.0,0.065,2023-01-07 13:00:00
158,0.536,0.0,0.02,2023-01-07 14:00:00
159,0.922,0.0,0.005,2023-01-07 15:00:00
160,0.678,0.0,0.001,2023-01-07 16:00:00
161,0.521,0.0,0.0,2023-01-07 17:00:00
162,0.563,0.0,0.0,2023-01-07 18:00:00
163,0.668,0.0,0.0,2023-01-07 19:00:00
164,0.523,0.0,0.0,2023-01-07 20:00:00
165,0.338,0.0,0.0,2023-01-07 21:00:00
166,0.0,0.34,0.0,2023-01-07 22:00:00
167,0.0,0.411,0.0,2023-01-07 23:00:00
168,0.0,0.677,0.0,2023-01-08 00:00:00
169,0.0,0.286,0.0,2023-01-08 01:00:00
170,0.0,0.26,0.0,2023-01-08 02:00:00
171,0.0,0.258,0.0,2023-01-08 03:00:00
172,0.0,0.255,0.0,2023-01-08 04:00:00
173,0.0,0.283,0.0,2023-01-08 05:00:00
174,0.0,0.752,0.0,2023-01-08 06:00:00
175,0.0,0.28,0.0,2023-01-08 07:00:00
176,0.259,0.0,0.001,2023-01-08 08:00:00
177,0.226,0.0,0.05,2023-01-08 09:00:00
178,0.185,0.0,0.095,2023-01-08 10:00:00
179,0.94,0.0,0.105,2023-01-08 11:00:00
180,1.277,0.0,0.17,2023-01-08 12:00:00
181,1.165,0.0,0.123,2023-01-08 13:00:00
182,1.999,0.0,0.077,2023-01-08 14:00:00
183,2.19,0.0,0.025,2023-01-08 15:00:00
184,1.681,0.0,0.011,2023-01-08 16:00:00
185,0.797,0.0,0.0,2023-01-08 17:00:00
186,0.659,0.0,0.0,2023-01-08 18:00:00
187,0.929,0.0,0.0,2023-01-08 19:00:00
188,0.719,0.0,0.0,2023-01-08 20:00:00
189,0.418,0.0,0.0,2023-01-08 21:00:00
190,0.0,0.384,0.0,2023-01-08 22:00:00
191,0.0,0.395,0.0,2023-01-08 23:00:00
192,0.0,0.719,0.0,2023-01-09 00:00:00
193,0.0,0.342,0.0,2023-01-09 01:00:00
194,0.0,0.262,0.0,2023-01-09 02:00:00
195,0.0,0.256,0.0,2023-01-09 03:00:00
196,0.0,0.254,0.0,2023-01-09 04:00:00
197,0.0,0.253,0.0,2023-01-09 05:00:00
198,0.0,0.255,0.0,2023-01-09 06:00:00
199,0.0,1.127,0.0,2023-01-09 07:00:00
200,0.407,0.0,0.026,2023-01-09 08:00:00
201,0.193,0.0,0.184,2023-01-09 09:00:00
202,0.056,0.0,0.425,2023-01-09 10:00:00
203,0.286,0.0,0.38,2023-01-09 11:00:00
204,0.0,0.0,0.242,2023-01-09 12:00:00
205,0.0,0.0,0.245,2023-01-09 13:00:00
206,0.0,0.0,0.322,2023-01-09 14:00:00
207,0.066,0.0,0.265,2023-01-09 15:00:00
208,0.236,0.0,0.08,2023-01-09 16:00:00
209,0.314,0.0,0.0,2023-01-09 17:00:00
210,1.54,0.0,0.0,2023-01-09 18:00:00
211,2.478,0.0,0.0,2023-01-09 19:00:00
212,0.643,0.0,0.0,2023-01-09 20:00:00
213,1.644,0.0,0.0,2023-01-09 21:00:00
214,0.0,0.674,0.0,2023-01-09 22:00:00
215,0.0,0.532,0.0,2023-01-09 23:00:00
216,0.0,0.346,0.0,2023-01-10 00:00:00
217,0.0,0.341,0.0,2023-01-10 01:00:00
218,0.0,0.292,0.0,2023-01-10 02:00:00
219,0.0,0.28,0.0,2023-01-10 03:00:00
220,0.0,0.268,0.0,2023-01-10 04:00:00
221,0.0,0.286,0.0,2023-01-10 05:00:00
222,0.0,0.254,0.0,2023-01-10 06:00:00
223,0.0,1.36,0.0,2023-01-10 07:00:00
224,0.394,0.0,0.029,2023-01-10 08:00:00
225,0.212,0.0,0.086,2023-01-10 09:00:00
226,0.12,0.0,0.12,2023-01-10 10:00:00
227,0.007,0.0,0.23,2023-01-10 11:00:00
228,0.006,0.0,0.234,2023-01-10 12:00:00
229,0.122,0.0,0.161,2023-01-10 13:00:00
230,0.292,0.0,0.082,2023-01-10 14:00:00
231,0.633,0.0,0.115,2023-01-10 15:00:00
232,0.751,0.0,0.029,2023-01-10 16:00:00
233,0.401,0.0,0.0,2023-01-10 17:00:00
234,0.287,0.0,0.0,2023-01-10 18:00:00
235,0.431,0.0,0.0,2023-01-10 19:00:00
236,1.081,0.0,0.0,2023-01-10 20:00:00
237,0.64,0.0,0.0,2023-01-10 21:00:00
238,0.0,0.866,0.0,2023-01-10 22:00:00
239,0.0,0.582,0.0,2023-01-10 23:00:00
240,0.0,0.364,0.0,2023-01-11 00:00:00
241,0.0,0.257,0.0,2023-01-11 01:00:00
242,0.0,0.251,0.0,2023-01-11 02:00:00
243,0.0,0.266,0.0,2023-01-11 03:00:00
244,0.0,0.257,0.0,2023-01-11 04:00:00
245,0.0,0.25,0.0,2023-01-11 05:00:00
246,0.0,0.249,0.0,2023-01-11 06:00:00
247,0.0,0.959,0.0,2023-01-11 07:00:00
248,0.298,0.0,0.089,2023-01-11 08:00:00
249,0.461,0.0,0.347,2023-01-11 09:00:00
250,0.04,0.0,0.342,2023-01-11 10:00:00
251,0.0,0.0,0.254,2023-01-11 11:00:00
252,0.0,0.0,0.255,2023-01-11 12:00:00
253,0.0,0.0,0.252,2023-01-11 13:00:00
254,0.0,0.0,0.246,2023-01-11 14:00:00
255,0.0,0.0,0.248,2023-01-11 15:00:00
256,0.165,0.0,0.074,2023-01-11 16:00:00
257,0.307,0.0,0.0,2023-01-11 17:00:00
258,0.398,0.0,0.0,2023-01-11 18:00:00
259,0.386,0.0,0.0,2023-01-11 19:00:00
260,0.358,0.0,0.0,2023-01-11 20:00:00
261,0.428,0.0,0.0,2023-01-11 21:00:00
262,0.0,0.358,0.0,2023-01-11 22:00:00
263,0.0,0.356,0.0,2023-01-11 23:00:00
264,0.0,0.423,0.0,2023-01-12 00:00:00
265,0.0,0.253,0.0,2023-01-12 01:00:00
266,0.0,0.251,0.0,2023-01-12 02:00:00
267,0.0,0.288,0.0,2023-01-12 03:00:00
268,0.0,0.271,0.0,2023-01-12 04:00:00
269,0.0,0.255,0.0,2023-01-12 05:00:00
270,0.0,0.291,0.0,2023-01-12 06:00:00
271,0.0,1.006,0.0,2023-01-12 07:00:00
272,0.306,0.0,0.06,2023-01-12 08:00:00
273,0.09,0.0,0.188,2023-01-12 09:00:00
274,0.055,0.0,0.236,2023-01-12 10:00:00
275,0.081,0.0,0.183,2023-01-12 11:00:00
276,0.113,0.0,0.168,2023-01-12 12:00:00
277,0.101,0.0,0.193,2023-01-12 13:00:00
278,0.586,0.0,0.132,2023-01-12 14:00:00
279,0.311,0.0,0.084,2023-01-12 15:00:00
280,0.29,0.0,0.021,2023-01-12 16:00:00
281,0.992,0.0,0.0,2023-01-12 17:00:00
282,0.646,0.0,0.0,2023-01-12 18:00:00
283,0.488,0.0,0.0,2023-01-12 19:00:00
284,0.557,0.0,0.0,2023-01-12 20:00:00
285,0.858,0.0,0.0,2023-01-12 21:00:00
286,0.0,0.43,0.0,2023-01-12 22:00:00
287,0.0,0.336,0.0,2023-01-12 23:00:00
288,0.0,0.258,0.0,2023-01-13 00:00:00
289,0.0,0.311,0.0,2023-01-13 01:00:00
290,0.0,0.286,0.0,2023-01-13 02:00:00
291,0.0,0.303,0.0,2023-01-13 03:00:00
292,0.0,0.316,0.0,2023-01-13 04:00:00
293,0.0,0.285,0.0,2023-01-13 05:00:00
294,0.0,1.568,0.0,2023-01-13 06:00:00
295,0.0,0.874,0.0,2023-01-13 07:00:00
296,0.418,0.0,0.029,2023-01-13 08:00:00
297,0.221,0.0,0.081,2023-01-13 09:00:00
298,0.174,0.0,0.148,2023-01-13 10:00:00
299,0.051,0.0,0.249,2023-01-13 11:00:00
300,0.078,0.0,0.23,2023-01-13 12:00:00
301,0.0,0.0,0.324,2023-01-13 13:00:00
302,0.228,0.0,0.33,2023-01-13 14:00:00
303,0.014,0.0,0.324,2023-01-13 15:00:00
304,0.284,0.0,0.075,2023-01-13 16:00:00
305,0.352,0.0,0.0,2023-01-13 17:00:00
306,0.481,0.0,0.0,2023-01-13 18:00:00
307,1.284,0.0,0.0,2023-01-13 19:00:00
308,0.919,0.0,0.0,2023-01-13 20:00:00
309,0.517,0.0,0.0,2023-01-13 21:00:00
310,0.0,0.528,0.0,2023-01-13 22:00:00
311,0.0,1.154,0.0,2023-01-13 23:00:00
312,0.0,0.353,0.0,2023-01-14 00:00:00
313,0.0,0.273,0.0,2023-01-14 01:00:00
314,0.0,0.3,0.0,2023-01-14 02:00:00
315,0.0,0.302,0.0,2023-01-14 03:00:00
316,0.0,0.277,0.0,2023-01-14 04:00:00
317,0.0,1.467,0.0,2023-01-14 05:00:00
318,0.0,1.067,0.0,2023-01-14 06:00:00
319,0.0,0.303,0.0,2023-01-14 07:00:00
320,0.674,0.0,0.005,2023-01-14 08:00:00
321,0.225,0.0,0.076,2023-01-14 09:00:00
322,0.984,0.0,0.214,2023-01-14 10:00:00
323,1.013,0.0,0.108,2023-01-14 11:00:00
324,2.596,0.0,0.114,2023-01-14 12:00:00
325,1.002,0.0,0.204,2023-01-14 13:00:00
326,1.299,0.0,0.151,2023-01-14 14:00:00
327,0.568,0.0,0.09,2023-01-14 15:00:00
328,0.739,0.0,0.028,2023-01-14 16:00:00
329,1.199,0.0,0.0,2023-01-14 17:00:00
330,0.579,0.0,0.0,2023-01-14 18:00:00
331,0.567,0.0,0.0,2023-01-14 19:00:00
332,0.435,0.0,0.0,2023-01-14 20:00:00
333,0.449,0.0,0.0,2023-01-14 21:00:00
334,0.0,0.445,0.0,2023-01-14 22:00:00
335,0.0,0.461,0.0,2023-01-14 23:00:00
336,0.0,0.317,0.0,2023-01-15 00:00:00
337,0.0,0.293,0.0,2023-01-15 01:00:00
338,0.0,0.286,0.0,2023-01-15 02:00:00
339,0.0,1.485,0.0,2023-01-15 03:00:00
340,0.0,0.305,0.0,2023-01-15 04:00:00
341,0.0,0.296,0.0,2023-01-15 05:00:00
342,0.0,0.265,0.0,2023-01-15 06:00:00
343,0.0,0.301,0.0,2023-01-15 07:00:00
344,0.188,0.0,0.106,2023-01-15 08:00:00
345,0.0,0.0,0.364,2023-01-15 09:00:00
346,0.686,0.0,0.665,2023-01-15 10:00:00
347,0.371,0.0,0.402,2023-01-15 11:00:00
348,1.431,0.0,0.674,2023-01-15 12:00:00
349,0.673,0.0,0.506,2023-01-15 13:00:00
350,0.029,0.0,0.29,2023-01-15 14:00:00
351,0.754,0.0,0.328,2023-01-15 15:00:00
352,0.405,0.0,0.099,2023-01-15 16:00:00
353,0.713,0.0,0.0,2023-01-15 17:00:00
354,0.672,0.0,0.0,2023-01-15 18:00:00
355,0.754,0.0,0.0,2023-01-15 19:00:00
356,0.822,0.0,0.0,2023-01-15 20:00:00
357,0.653,0.0,0.0,2023-01-15 21:00:00
358,0.0,0.597,0.0,2023-01-15 22:00:00
359,0.0,0.639,0.0,2023-01-15 23:00:00
360,0.0,0.747,0.0,2023-01-16 00:00:00
361,0.0,0.556,0.0,2023-01-16 01:00:00
362,0.0,0.604,0.0,2023-01-16 02:00:00
363,0.0,0.813,0.0,2023-01-16 03:00:00
364,0.0,0.504,0.0,2023-01-16 04:00:00
365,0.0,0.49,0.0,2023-01-16 05:00:00
366,0.0,0.472,0.0,2023-01-16 06:00:00
367,0.0,1.364,0.0,2023-01-16 07:00:00
368,0.369,0.0,0.0,2023-01-16 08:00:00
369,0.271,0.0,0.013,2023-01-16 09:00:00
370,0.243,0.0,0.068,2023-01-16 10:00:00
371,0.251,0.0,0.089,2023-01-16 11:00:00
372,0.687,0.0,0.095,2023-01-16 12:00:00
373,0.222,0.0,0.071,2023-01-16 13:00:00
374,0.228,0.0,0.029,2023-01-16 14:00:00
375,0.306,0.0,0.004,2023-01-16 15:00:00
376,0.283,0.0,0.0,2023-01-16 16:00:00
377,0.504,0.0,0.0,2023-01-16 17:00:00
378,1.494,0.0,0.0,2023-01-16 18:00:00
379,0.637,0.0,0.0,2023-01-16 19:00:00
380,0.465,0.0,0.0,2023-01-16 20:00:00
381,0.48,0.0,0.0,2023-01-16 21:00:00
382,0.0,0.729,0.0,2023-01-16 22:00:00
383,0.0,0.517,0.0,2023-01-16 23:00:00
384,0.0,0.512,0.0,2023-01-17 00:00:00
385,0.0,0.562,0.0,2023-01-17 01:00:00
386,0.0,0.264,0.0,2023-01-17 02:00:00
387,0.0,0.305,0.0,2023-01-17 03:00:00
388,0.0,0.263,0.0,2023-01-17 04:00:00
389,0.0,0.279,0.0,2023-01-17 05:00:00
390,0.0,0.275,0.0,2023-01-17 06:00:00
391,0.0,1.006,0.0,2023-01-17 07:00:00
392,0.461,0.0,0.012,2023-01-17 08:00:00
393,0.222,0.0,0.122,2023-01-17 09:00:00
394,0.284,0.0,0.115,2023-01-17 10:00:00
395,0.276,0.0,0.145,2023-01-17 11:00:00
396,0.139,0.0,0.267,2023-01-17 12:00:00
397,0.6,0.0,0.233,2023-01-17 13:00:00
398,0.169,0.0,0.178,2023-01-17 14:00:00
399,0.431,0.0,0.093,2023-01-17 15:00:00
400,0.337,0.0,0.058,2023-01-17 16:00:00
401,0.364,0.0,0.002,2023-01-17 17:00:00
402,2.341,0.0,0.0,2023-01-17 18:00:00
403,0.543,0.0,0.0,2023-01-17 19:00:00
404,0.65,0.0,0.0,2023-01-17 20:00:00
405,0.372,0.0,0.0,2023-01-17 21:00:00
406,0.0,0.357,0.0,2023-01-17 22:00:00
407,0.0,0.447,0.0,2023-01-17 23:00:00
408,0.0,0.277,0.0,2023-01-18 00:00:00
409,0.0,0.272,0.0,2023-01-18 01:00:00
410,0.0,0.314,0.0,2023-01-18 02:00:00
411,0.0,0.279,0.0,2023-01-18 03:00:00
412,0.0,0.313,0.0,2023-01-18 04:00:00
413,0.0,0.283,0.0,2023-01-18 05:00:00
414,0.0,0.296,0.0,2023-01-18 06:00:00
415,0.0,0.957,0.0,2023-01-18 07:00:00
416,0.358,0.0,0.088,2023-01-18 08:00:00
417,1.317,0.0,0.363,2023-01-18 09:00:00
418,0.05,0.0,0.331,2023-01-18 10:00:00
419,0.047,0.0,0.343,2023-01-18 11:00:00
420,0.228,0.0,0.472,2023-01-18 12:00:00
421,0.9,0.0,0.543,2023-01-18 13:00:00
422,1.591,0.0,0.41,2023-01-18 14:00:00
423,0.145,0.0,0.212,2023-01-18 15:00:00
424,0.314,0.0,0.063,2023-01-18 16:00:00
425,0.41,0.0,0.0,2023-01-18 17:00:00
426,2.845,0.0,0.0,2023-01-18 18:00:00
427,2.037,0.0,0.0,2023-01-18 19:00:00
428,0.498,0.0,0.0,2023-01-18 20:00:00
429,0.404,0.0,0.0,2023-01-18 21:00:00
430,0.0,0.38,0.0,2023-01-18 22:00:00
431,0.0,0.422,0.0,2023-01-18 23:00:00
432,0.0,0.435,0.0,2023-01-19 00:00:00
433,0.0,0.422,0.0,2023-01-19 01:00:00
434,0.0,0.478,0.0,2023-01-19 02:00:00
435,0.0,0.379,0.0,2023-01-19 03:00:00
436,0.0,0.269,0.0,2023-01-19 04:00:00
437,0.0,0.263,0.0,2023-01-19 05:00:00
438,0.0,0.254,0.0,2023-01-19 06:00:00
439,0.0,0.677,0.0,2023-01-19 07:00:00
440,0.301,0.0,0.022,2023-01-19 08:00:00
441,0.649,0.0,0.087,2023-01-19 09:00:00
442,0.164,0.0,0.119,2023-01-19 10:00:00
443,0.14,0.0,0.15,2023-01-19 11:00:00
444,0.186,0.0,0.124,2023-01-19 12:00:00
445,0.158,0.0,0.126,2023-01-19 13:00:00
446,0.256,0.0,0.05,2023-01-19 14:00:00
447,0.376,0.0,0.021,2023-01-19 15:00:00
448,0.383,0.0,0.0,2023-01-19 16:00:00
449,0.379,0.0,0.0,2023-01-19 17:00:00
450,1.082,0.0,0.0,2023-01-19 18:00:00
451,2.43,0.0,0.0,2023-01-19 19:00:00
452,1.535,0.0,0.0,2023-01-19 20:00:00
453,0.893,0.0,0.0,2023-01-19 21:00:00
454,0.0,0.603,0.0,2023-01-19 22:00:00
455,0.0,0.567,0.0,2023-01-19 23:00:00
456,0.0,1.579,0.0,2023-01-20 00:00:00
457,0.0,0.517,0.0,2023-01-20 01:00:00
